"","learn method","mmce","acc","auc","ce"
"248","classif.glmnet",0.125,0.875,0.716049382716049,0.432098765432099
"249","classif.nnet",0.138888888888889,0.861111111111111,0.671957671957672,0.343915343915344
"250","classif.multinom",0.138888888888889,0.861111111111111,0.753086419753086,0.506172839506173
"251","classif.naiveBayes",0.25,0.75,0.811695906432749,0.623391812865497
"252","classif.svm",0.194444444444444,0.805555555555556,0.605847953216374,0.211695906432749
"253","classif.gbm",0.208333333333333,0.791666666666667,0.837426900584795,0.674853801169591
"254","classif.lda",0.208333333333333,0.791666666666667,0.837426900584795,0.674853801169591
"255","classif.mlp",0.208333333333333,0.791666666666667,0.736842105263158,0.473684210526316
"256","classif.randomForest",0.208333333333333,0.791666666666667,0.855555555555556,0.711111111111111
"257","classif.rpart",0.180555555555556,0.819444444444444,0.639181286549708,0.278362573099415
"258","classif.glmnet",0.208333333333333,0.791666666666667,0.835087719298246,0.670175438596491
"259","classif.nnet",0.208333333333333,0.791666666666667,0.710526315789474,0.421052631578947
"260","classif.multinom",0.208333333333333,0.791666666666667,0.83859649122807,0.67719298245614
"261","classif.naiveBayes",0.180555555555556,0.819444444444444,0.816166883963494,0.632333767926988
"262","classif.svm",0.166666666666667,0.833333333333333,0.766623207301173,0.533246414602347
"263","classif.gbm",0.180555555555556,0.819444444444444,0.872229465449804,0.744458930899609
"264","classif.lda",0.152777777777778,0.847222222222222,0.880052151238592,0.760104302477184
"265","classif.mlp",0.180555555555556,0.819444444444444,0.240547588005215,-0.51890482398957
"266","classif.randomForest",0.166666666666667,0.833333333333333,0.908083441981747,0.816166883963494
"267","classif.rpart",0.166666666666667,0.833333333333333,0.763363754889179,0.526727509778357
"268","classif.glmnet",0.152777777777778,0.847222222222222,0.890482398956975,0.78096479791395
"269","classif.nnet",0.180555555555556,0.819444444444444,0.755541069100391,0.511082138200782
"270","classif.multinom",0.166666666666667,0.833333333333333,0.878748370273794,0.757496740547588
"271","classif.naiveBayes",0.180555555555556,0.819444444444444,0.62258064516129,0.245161290322581
"272","classif.svm",0.166666666666667,0.833333333333333,0.574193548387097,0.148387096774194
"273","classif.gbm",0.138888888888889,0.861111111111111,0.729032258064516,0.458064516129032
"274","classif.lda",0.152777777777778,0.847222222222222,0.701612903225806,0.403225806451613
"275","classif.mlp",0.138888888888889,0.861111111111111,0.429032258064516,-0.141935483870968
"276","classif.randomForest",0.152777777777778,0.847222222222222,0.691129032258065,0.382258064516129
"277","classif.rpart",0.166666666666667,0.833333333333333,0.582258064516129,0.164516129032258
"278","classif.glmnet",0.152777777777778,0.847222222222222,0.724193548387097,0.448387096774194
"279","classif.nnet",0.152777777777778,0.847222222222222,0.682258064516129,0.364516129032258
"280","classif.multinom",0.138888888888889,0.861111111111111,0.674193548387097,0.348387096774194
"281","classif.naiveBayes",0.136986301369863,0.863013698630137,0.722222222222222,0.444444444444444
"282","classif.svm",0.123287671232877,0.876712328767123,0.588541666666667,0.177083333333333
"283","classif.gbm",0.123287671232877,0.876712328767123,0.723090277777778,0.446180555555556
"284","classif.lda",0.136986301369863,0.863013698630137,0.703125,0.40625
"285","classif.mlp",0.123287671232877,0.876712328767123,0.6171875,0.234375
"286","classif.randomForest",0.10958904109589,0.89041095890411,0.731770833333333,0.463541666666667
"287","classif.rpart",0.123287671232877,0.876712328767123,0.659722222222222,0.319444444444444
"288","classif.glmnet",0.136986301369863,0.863013698630137,0.693576388888889,0.387152777777778
"289","classif.nnet",0.10958904109589,0.89041095890411,0.701388888888889,0.402777777777778
"290","classif.multinom",0.136986301369863,0.863013698630137,0.699652777777778,0.399305555555556
"291","classif.naiveBayes",0.180555555555556,0.819444444444444,0.849609375,0.69921875
"292","classif.svm",0.111111111111111,0.888888888888889,0.595703125,0.19140625
"293","classif.gbm",0.111111111111111,0.888888888888889,0.884765625,0.76953125
"294","classif.lda",0.166666666666667,0.833333333333333,0.875,0.75
"295","classif.mlp",0.111111111111111,0.888888888888889,0.7109375,0.421875
"296","classif.randomForest",0.125,0.875,0.8388671875,0.677734375
"297","classif.rpart",0.152777777777778,0.847222222222222,0.796875,0.59375
"298","classif.glmnet",0.138888888888889,0.861111111111111,0.888671875,0.77734375
"299","classif.nnet",0.111111111111111,0.888888888888889,0.8125,0.625
"300","classif.multinom",0.166666666666667,0.833333333333333,0.87109375,0.7421875
"301","classif.naiveBayes",0.166666666666667,0.833333333333333,0.676470588235294,0.352941176470588
"302","classif.svm",0.0972222222222222,0.902777777777778,0.488970588235294,-0.0220588235294118
